Date,Open,High,Low,Close, Adj Close ,Volume
2011-05-01,13944.79981,14089.09961,13264.79981,13802.90039,"13,803",3871603900
2011-06-01,13806.09961,13823.40039,12763.5,13300.90039,"13,301",4487582600
2011-07-01,13315.40039,13516.2002,12858.40039,12945.59961,"12,946",3528913000
2011-08-01,13010.59961,13010.59961,11617.79981,12768.7002,"12,769",5560123300
2011-09-01,12770.7002,12798.5,11293.59961,11623.79981,"11,624",5118460300
2011-10-01,11516.90039,12541.79981,10848.2002,12252.09961,"12,252",4831907400
2011-11-01,11963.2002,12542.59961,11420.79981,12204.09961,"12,204",4347381300
2011-12-01,12174.09961,12268.90039,11468.7002,11955.09961,"11,955",4195931300
2012-01-01,12097.2002,12616,11955.90039,12452.2002,"12,452",4129696600
2012-02-01,12510.7002,12788.59961,12291.79981,12644,"12,644",4117625300
2012-03-01,12643,12731.5,12194.5,12392.2002,"12,392",4938268500
2012-04-01,12381.5,12526.59961,11869,12292.7002,"12,293",3636982100
2012-05-01,12325.7002,12364.59961,11256.7002,11513.2002,"11,513",4116747500
2012-06-01,11413.09961,11824.59961,11209.59961,11596.59961,"11,597",4100253800
2012-07-01,11727.5,11936.2002,11366.7002,11664.7002,"11,665",3248198800
2012-08-01,11693.09961,12196.79981,11475.40039,11949.29981,"11,949",3035865900
2012-09-01,11978,12529.79981,11904.5,12317.5,"12,318",3642520600
2012-10-01,12372.5,12494,12137.2002,12422.90039,"12,423",3116811700
2012-11-01,12408.5,12511.5,11761.29981,12239.40039,"12,239",3356105900
2012-12-01,12253.7002,12457.29981,12095.5,12433.5,"12,434",3468514000
2013-01-01,12571.79981,12895.29981,12430.40039,12685.2002,"12,685",3572534100
2013-02-01,12741.2002,12832.7002,12602.5,12821.79981,"12,822",3328508900
2013-03-01,12798.7002,12904.7002,12622.5,12749.90039,"12,750",3671660900
2013-04-01,12751.59961,12751.59961,11916.59961,12456.5,"12,457",3845683700
2013-05-01,12408,12889.29981,12276,12650.40039,"12,650",579680800
2013-06-01,12661.2002,12681.2002,11759,12129.09961,"12,129",37965200
2013-07-01,12178,12772.09961,12055.59961,12486.59961,"12,487",552542500
2013-08-01,12486.59961,12812.59961,12400.09961,12653.90039,"12,654",2514315900
2013-09-01,12654.29981,12964.90039,12654.29981,12787.2002,"12,787",2555871000
2013-10-01,12787.2002,13471.09961,12678,13361.29981,"13,361",3396521600
2013-11-01,13362.90039,13517,13285.2002,13395.40039,"13,395",2698397100
2013-12-01,13395.40039,13644.29981,13059.7002,13621.59961,"13,622",2886736500
2014-01-01,13621.40039,14002.40039,13473.2002,13694.90039,"13,695",3958912800
2014-02-01,13694.90039,14280.90039,13450.29981,14209.59961,"14,210",3650954400
2014-03-01,14209.7002,14406.90039,14139.29981,14335.29981,"14,335",3664332300
2014-04-01,14335.29981,14662,14221.40039,14651.90039,"14,652",3506261200
2014-05-01,14651.90039,14765.2002,14473.79981,14604.2002,"14,604",2995727100
2014-06-01,14604.2002,15146,14604.2002,15146,"15,146",3393673500
2014-07-01,15146,15527.29981,15021.09961,15330.7002,"15,331",3323445900
2014-08-01,15330.79981,15653.40039,15056.09961,15625.7002,"15,626",2734232600
2014-09-01,15626.90039,15685.09961,14821.7002,14960.5,"14,961",3736970700
2014-10-01,14958.5,14958.5,13646.79981,14613.29981,"14,613",4600707700
2014-11-01,14632.2002,15184.40039,14327,14744.7002,"14,745",4009177600
2014-12-01,14753.5,14789,13635.5,14632.40039,"14,632",5719021100
2015-01-01,14637.29981,14853.29981,13892.59961,14673.5,"14,674",5178528700
2015-02-01,14713.90039,15349,14713.90039,15234.29981,"15,234",4293263700
2015-03-01,15240.90039,15283.7002,14606.2002,14902.40039,"14,902",4479338300
2015-04-01,14925.2002,15524.79981,14878.5,15224.5,"15,225",3772368300
2015-05-01,15224.40039,15416.59961,14934.29981,15014.09961,"15,014",3483023200
2015-06-01,15040.90039,15182.2002,14482.2002,14553.29981,"14,553",3725889300
2015-07-01,14588.2002,14748,13938.90039,14468.40039,"14,468",3804476900
2015-08-01,14465.79981,14622.40039,12705.2002,13859.09961,"13,859",4207264000
2015-09-01,13691.79981,13876,12964.09961,13307,"13,307",4457532700
2015-10-01,13362.5,14053.2002,13086.40039,13529.2002,"13,529",4839515700
2015-11-01,13531,13790.09961,13030.5,13469.79981,"13,470",4013504500
2015-12-01,13488.40039,13653.7002,12617.7002,13010,"13,010",4495475300
2016-01-01,12920.59961,12954.90039,11531.2002,12822.09961,"12,822",5129644400
2016-02-01,12766.2002,12984.7002,11985.7002,12860.40039,"12,860",5553510400
2016-03-01,12896.29981,13685.5,12858,13494.40039,"13,494",6115364500
2016-04-01,13404.59961,13972.59961,13217.2002,13951.5,"13,952",4943424400
2016-05-01,13963.90039,14172.40039,13535.5,14065.79981,"14,066",4742128600
2016-06-01,14017,14450.90039,13609.59961,14064.5,"14,065",5235274600
2016-07-01,14200.09961,14609,14080.2002,14582.7002,"14,583",3872760200
2016-08-01,14555.2002,14855.7002,14428.2002,14598,"14,598",3807885000
2016-09-01,14573.29981,14841.40039,14319.09961,14725.90039,"14,726",4388263300
2016-10-01,14722.5,14963.59961,14468,14787.29981,"14,787",3950697400
2016-11-01,14827.90039,15141,14481.59961,15082.90039,"15,083",4984695800
2016-12-01,15138.59961,15432.59961,15000.59961,15287.59961,"15,288",4472757200
2017-01-01,15366.79981,15674.29981,15313,15386,"15,386",4334029700
2017-02-01,15423.79981,15943.09961,15327.2002,15399.2002,"15,399",4402140700
2017-03-01,15534.7002,15664.09961,15241.59961,15547.79981,"15,548",5236485800
2017-04-01,15587,15792.59961,15427.29981,15586.09961,"15,586",3933956300
2017-05-01,15601.7002,15700.59961,15164.7002,15349.90039,"15,350",4552021500
2017-06-01,15363.09961,15594.2002,15078,15182.2002,"15,182",5044945600
2017-07-01,15217.40039,15319.2002,14915.79981,15143.90039,"15,144",3057099700
2017-08-01,15192.09961,15324.59961,14918.59961,15211.90039,"15,212",3369669600
2017-09-01,15194.7002,15692,14953.90039,15634.90039,"15,635",3870060000
2017-10-01,15640,16064.7002,15619.2002,16025.59961,"16,026",3482763100
2017-11-01,16093.40039,16131.79981,15829.40039,16067.5,"16,068",3888878600
2017-12-01,16058.2002,16232.2002,15853.09961,16209.09961,"16,209",3501176100
2018-01-01,16213.40039,16421.40039,15898.7002,15951.7002,"15,952",4635890300
2018-02-01,15920,15922.59961,14785.79981,15442.7002,"15,443",4449009200
2018-03-01,15452.7002,15791.2002,15150.5,15367.29981,"15,367",4324581200
2018-04-01,15351.2002,15702.59961,14991.2002,15607.90039,"15,608",4044331800
2018-05-01,15592.5,16238.79981,15548.7002,16061.5,"16,062",4525260200
2018-06-01,16075.79981,16489.5,16038,16277.7002,"16,278",4438640100
2018-07-01,16332.40039,16586.5,16227.29981,16434,"16,434",3514022500
2018-08-01,16383.79981,16494.09961,16075.29981,16262.90039,"16,263",4362840200
2018-09-01,16276.29981,16300.7002,15975.79981,16073.09961,"16,073",4797558000
2018-10-01,16152.29981,16193.09961,14639.7002,15027.29981,"15,027",6140889300
2018-11-01,15032.79981,15393.09961,14810.59961,15197.79981,"15,198",5580999000
2018-12-01,15358.90039,15378.90039,13776.90039,14322.90039,"14,323",5249256700
2019-01-01,14163.90039,15564.59961,14112.79981,15540.59961,"15,541",5215379100
